mid,year,month,day,hour,minute,day_of_year,day_of_week,day_since_hire,Size (MB),Rcpt Count,File Count,Lev_mail,Rcpt Count Personal Max,Rcpt Count Job Max,Rcpt Count Personal Percentile,Rcpt Count Job Percentile,File Count Personal Max,File Count Job Max,File Count Personal Percentile,File Count Job Percentile,Size (MB) Personal Max,Size (MB) Job Max,sub_sensitive_count,files_sensitive_count,files_sensitive_count Personal Max,files_sensitive_count Job Max,files_sensitive_count Personal Percentile,files_sensitive_count Job Percentile,sub_sensitive_count Personal Max,sub_sensitive_count Job Max,sub_sensitive_count Personal Percentile,sub_sensitive_count Job Percentile,Manager ACF2,Job Family,Division,Employment Type,Business Location,Business Group,Employee Status,Local Admin,Privileged User,Government Cleared,target
5,0,0.0,0.6,0.869565217,0.627118644,0.053030303,0.0,0.0,0.166666667,0.0,0.068965517,0,0.0,1.0,1.0,0.263888889,0.052631579,0.044444444,1.0,0.430232558,3.33e-07,3.27e-07,0.0,0.142857143,0.142857143,0.142857143,1.0,0.780487805,0.0,0,1.0,0.066666667,0.896551724,1.0,0.0,0.0,0.094339623,0.368421053,0.0,0.0,0.0,0,0
82,0,0.5,0.233333333,0.391304348,0.474576271,0.431818182,0.166666667,0.444501018,0.206666667,0.0,0.034482759,0,0.071428571,0.375,0.415730337,0.263888889,0.526315789,0.711111111,0.367346939,0.395348837,0.103570652,0.82131502,0.333333333,0.142857143,0.142857143,0.142857143,0.811111111,0.890243902,0.333333333,1,0.966292135,0.883333333,0.625615764,0.775,0.975609756,0.666666667,0.698113208,0.526315789,0.0,0.5,0.5,1,1
55,0,0.25,0.9,0.565217391,0.203389831,0.348484848,0.666666667,0.108452138,0.013333333,0.0,0.448275862,0,0.035714286,1.0,0.426966292,0.263888889,0.5,0.422222222,0.714285714,0.651162791,0.971449118,0.953171952,0.0,0.285714286,0.142857143,0.142857143,1.0,1.0,0.333333333,1,0.404494382,0.066666667,0.0591133,1.0,0.0,0.0,0.056603774,0.0,0.0,0.5,0.5,1,0
469,0,0.75,0.4,0.130434783,0.677966102,0.696969697,0.166666667,0.49592668,0.286666667,0.0,0.034482759,0,0.071428571,1.0,0.382022472,0.263888889,0.157894737,0.133333333,0.316326531,0.313953488,0.228641848,0.224340105,0.0,0.0,0.142857143,0.142857143,0.244444444,0.170731707,0.333333333,1,0.393258427,0.066666667,0.463054187,1.0,0.0,0.0,0.773584906,0.842105263,0.333333333,0.5,0.5,1,1
414,0,0.75,0.166666667,0.391304348,0.406779661,0.643939394,0.166666667,0.977087576,0.0,0.0,0.068965517,0,0.0,0.65,0.573033708,0.180555556,0.078947368,0.288888889,0.612244898,0.418604651,0.048406512,0.50121689,0.0,0.0,0.142857143,0.142857143,0.444444444,0.097560976,0.0,1,0.573033708,0.1,0.753694581,0.0125,0.87804878,0.666666667,0.754716981,0.578947368,1.0,0.5,0.5,1,0
73,0,0.25,1.0,0.826086957,0.847457627,0.371212121,0.0,0.958248473,0.04,0.0,0.034482759,0,0.0,0.25,0.460674157,0.208333333,0.026315789,0.244444444,0.948979592,0.197674419,0.065484706,0.260380911,0.0,0.0,0.142857143,0.142857143,0.444444444,0.0,0.0,1,0.460674157,0.133333333,0.660098522,0.2,0.0,0.0,0.698113208,0.526315789,0.333333333,0.5,0.5,1,1
526,0,0.75,0.933333333,0.739130435,1.0,0.818181818,0.5,0.988798371,0.0,0.0,0.068965517,0,0.035714286,0.125,0.426966292,0.319444444,0.342105263,0.733333333,0.704081633,0.755813953,0.609970173,0.598493992,0.0,0.0,0.142857143,0.142857143,0.422222222,0.353658537,0.333333333,1,0.438202247,0.133333333,0.837438424,0.2625,0.487804878,0.666666667,0.811320755,0.947368421,0.333333333,0.5,0.5,1,0
196,0,0.5,0.733333333,0.217391304,0.322033898,0.545454545,0.333333333,0.970468432,0.0,0.0,0.0,0,0.142857143,0.55,0.359550562,0.263888889,0.5,0.777777778,0.255102041,0.046511628,0.105340589,0.93191044,0.0,0.0,0.142857143,0.142857143,0.2,0.256097561,0.333333333,1,0.146067416,0.0,0.21182266,0.0875,0.317073171,0.666666667,0.622641509,0.736842105,0.333333333,0.5,0.5,1,1
89,0,0.5,0.2,0.739130435,0.542372881,0.424242424,0.0,0.929735234,0.14,0.0,0.0,0,0.0,0.85,1.0,0.138888889,0.0,0.844444444,1.0,0.023255814,2.8e-07,0.989014129,0.666666667,0.285714286,0.285714286,0.142857143,1.0,1.0,0.666666667,1,1.0,1.0,0.502463054,0.1,0.073170732,0.666666667,0.849056604,0.631578947,1.0,0.5,1.0,1,0
183,0,0.5,0.533333333,0.130434783,0.93220339,0.5,0.5,0.967413442,0.006666667,0.0,0.137931034,0,0.0,0.375,1.0,0.152777778,0.105263158,0.822222222,1.0,0.441860465,1.33e-08,0.954371676,0.0,0.714285714,0.714285714,0.142857143,1.0,1.0,0.0,1,1.0,0.066666667,0.985221675,0.15,1.0,0.666666667,0.490566038,0.684210526,0.333333333,0.5,0.5,1,1
148,0,0.5,0.5,0.434782609,0.203389831,0.492424242,0.333333333,0.353360489,0.02,0.0,0.034482759,0,0.0,0.8,1.0,0.125,0.026315789,0.866666667,1.0,0.313953488,4e-08,0.943834011,0.0,0.0,0.0,0.142857143,1.0,0.170731707,0.0,1,1.0,0.066666667,0.78817734,0.1125,0.219512195,0.666666667,0.754716981,0.526315789,1.0,0.5,0.5,1,1
348,0,0.75,0.166666667,0.347826087,0.254237288,0.643939394,0.166666667,0.977087576,0.16,0.0,0.0,0,0.107142857,0.4,0.438202247,0.194444444,0.210526316,0.755555556,0.346938776,0.0,0.861894107,0.948800971,0.0,0.142857143,0.142857143,0.142857143,0.577777778,0.609756098,0.0,1,0.449438202,0.083333333,0.60591133,0.6125,0.341463415,0.666666667,0.79245283,0.631578947,0.333333333,0.5,0.5,1,0
22,0,0.0,0.466666667,0.565217391,0.762711864,0.022727273,0.5,0.0,0.133333333,0.0,0.551724138,0,0.071428571,1.0,0.438202247,0.263888889,0.157894737,0.133333333,0.948979592,0.651162791,0.029781486,0.029221167,0.0,0.142857143,0.142857143,0.142857143,1.0,0.780487805,0.0,0,0.460674157,0.066666667,0.418719212,1.0,0.0,0.0,0.018867925,0.105263158,0.0,0.0,0.0,0,0
304,0,0.5,0.933333333,0.52173913,0.644067797,0.590909091,0.166666667,0.587576375,0.0,0.0,0.0,0,0.035714286,0.775,0.415730337,0.041666667,0.578947368,0.822222222,0.367346939,0.046511628,0.911445946,0.962663849,0.0,0.0,0.142857143,0.142857143,0.355555556,0.207317073,0.333333333,1,0.438202247,0.1,0.891625616,0.425,0.414634146,0.666666667,0.811320755,0.947368421,0.0,0.5,0.5,1,1
233,0,0.5,0.866666667,0.086956522,0.084745763,0.575757576,1.0,0.972505092,0.0,0.0,0.068965517,0,0.035714286,0.475,0.415730337,0.166666667,1.0,0.844444444,0.581632653,0.360465116,0.885385506,0.982333934,0.333333333,0.0,0.142857143,0.142857143,0.266666667,0.097560976,0.333333333,1,0.943820225,0.866666667,0.768472906,0.2375,0.658536585,0.666666667,0.754716981,0.526315789,0.333333333,0.5,0.5,1,1
315,0,0.5,0.966666667,0.565217391,0.406779661,0.598484848,0.333333333,0.58808554,0.0,0.0,0.0,0,0.035714286,0.775,0.415730337,0.041666667,0.578947368,0.822222222,0.367346939,0.046511628,0.911445946,0.962663849,0.0,0.0,0.142857143,0.142857143,0.355555556,0.207317073,0.333333333,1,0.438202247,0.1,0.891625616,0.425,0.414634146,0.666666667,0.811320755,0.947368421,0.0,0.5,0.5,1,1
306,0,0.5,0.966666667,0.565217391,0.966101695,0.598484848,0.333333333,0.58808554,0.026666667,0.0,0.0,0,0.035714286,0.775,0.415730337,0.041666667,0.578947368,0.822222222,0.367346939,0.046511628,0.911445946,0.962663849,0.0,0.0,0.142857143,0.142857143,0.355555556,0.207317073,0.333333333,1,0.438202247,0.1,0.891625616,0.425,0.414634146,0.666666667,0.811320755,0.947368421,0.0,0.5,0.5,1,0
115,0,0.5,0.4,0.130434783,0.898305085,0.46969697,1.0,0.361507128,0.013333333,0.0,0.0,0,0.0,1.0,1.0,0.263888889,0.0,0.0,1.0,0.058139535,2.66e-08,2.61e-08,0.0,0.285714286,0.285714286,0.285714286,1.0,1.0,0.0,0,1.0,0.066666667,0.709359606,1.0,0.0,0.0,0.773584906,1.0,0.0,0.5,0.5,1,0
139,0,0.5,0.466666667,0.782608696,0.728813559,0.484848485,0.166666667,0.352851324,0.173333333,0.0,0.137931034,0,0.0,0.8,1.0,0.125,0.105263158,0.866666667,1.0,0.546511628,3.46e-07,0.943834011,0.0,0.0,0.0,0.142857143,1.0,0.170731707,0.0,1,1.0,0.066666667,0.78817734,0.1125,0.219512195,0.666666667,0.754716981,0.526315789,1.0,0.5,0.5,1,1
97,0,0.5,0.266666667,0.347826087,0.610169492,0.439393939,0.333333333,0.040224033,0.0,0.0,0.0,1,0.035714286,0.875,0.337078652,0.069444444,0.078947368,0.755555556,0.295918367,0.034883721,0.331886785,0.964181225,0.0,0.142857143,0.142857143,0.142857143,0.833333333,0.743902439,0.333333333,1,0.269662921,0.016666667,0.019704433,0.0,0.0,0.0,0.754716981,0.631578947,0.0,0.5,0.5,1,0
293,0,0.75,0.0,0.130434783,0.610169492,0.606060606,0.5,0.974541752,0.0,0.0,0.034482759,0,0.285714286,0.55,0.348314607,0.263888889,0.421052632,0.777777778,0.275510204,0.360465116,0.808131869,0.93191044,0.333333333,0.142857143,0.142857143,0.142857143,0.788888889,0.865853659,0.333333333,1,0.865168539,0.833333333,0.206896552,0.0875,0.317073171,0.666666667,0.622641509,0.736842105,0.333333333,0.5,0.5,1,1
589,0,1.0,0.266666667,0.347826087,0.627118644,0.901515152,0.0,0.994399185,0.093333333,0.0,0.379310345,0,0.071428571,0.625,0.426966292,0.138888889,0.394736842,0.8,0.551020408,0.651162791,0.300234963,0.983275897,0.0,0.571428571,0.142857143,0.142857143,1.0,1.0,0.333333333,1,0.415730337,0.083333333,0.926108374,0.475,0.707317073,0.666666667,0.811320755,0.789473684,0.333333333,0.5,0.5,1,1
